Project,CT_Definition,CT_Column,N_total,N_missing,N_nonpositive,N_usable,Coverage_pct,Median_minutes,Q1_minutes,Q3_minutes,IQR_minutes,P10_minutes,P90_minutes,Min_minutes,Max_minutes,Mean_minutes,Std_minutes,Median_days,Q1_days,Q3_days,IQR_days,P10_days,P90_days,Min_days,Max_days,Mean_days
JRACLOUD,CT1,CT1_Resolution_Time_Minutes,1646,0,2,1644,99.88,86002.5,14830.75,510208.25,495377.5,1735.4,826464.0000000001,1.0,1442755.0,270471.1660583942,332251.47809272906,59.723958333333336,10.299131944444444,354.31128472222224,344.01215277777777,1.205138888888889,573.9333333333334,0.0006944444444444445,1001.9131944444445,187.82719865166263
JRACLOUD,CT2,CT2_In_Progress_Minutes,1646,0,1436,210,12.76,10163.0,1467.25,38831.0,37363.75,46.900000000000006,134582.59999999998,1.0,698660.0,45387.25714285715,91792.28611631741,7.057638888888889,1.018923611111111,26.965972222222224,25.94704861111111,0.03256944444444445,93.46013888888888,0.0006944444444444445,485.18055555555554,31.518928571428575
JRACLOUD,CT3,CT3_Resolution_minus_Created_Minutes,1646,0,2,1644,99.88,86002.5,14830.75,510209.0,495378.25,1735.4,826464.0000000001,1.0,1442756.0,270471.17700729927,332251.48123404226,59.723958333333336,10.299131944444444,354.31180555555557,344.0126736111111,1.205138888888889,573.9333333333334,0.0006944444444444445,1001.9138888888889,187.82720625506894
JRACLOUD,CT4,CT4_Resolution_minus_FirstInProgress_Minutes,1646,1371,32,243,14.76,12905.0,2655.0,51435.0,48780.0,101.80000000000008,181643.6,1.0,718681.0,57499.181069958846,112926.5880793716,8.961805555555555,1.84375,35.71875,33.875,0.0706944444444445,126.1413888888889,0.0006944444444444445,499.0840277777778,39.929986854138086
JRACLOUD,CT5,CT5_FinalDone_minus_FirstInProgress_Minutes,1646,1371,15,260,15.8,112458.5,9814.25,372369.75,362555.5,972.8000000000001,628383.4,1.0,837755.0,219300.3,253372.29387444718,78.09618055555555,6.815451388888889,258.59010416666666,251.7746527777778,0.6755555555555556,436.3773611111111,0.0006944444444444445,581.7743055555555,152.291875
JRACLOUD,CT6,CT6_FirstDone_minus_FirstInProgress_Minutes,1646,1371,140,135,8.2,11580.0,1691.0,51694.0,50003.0,47.00000000000001,155757.8000000003,1.0,465507.0,51026.97777777778,91902.55837525643,8.041666666666666,1.1743055555555555,35.89861111111111,34.72430555555555,0.03263888888888889,108.1651388888891,0.0006944444444444445,323.26875,35.4354012345679
MDL,CT1,CT1_Resolution_Time_Minutes,4901,0,5,4896,99.9,27874.5,7697.0,93004.5,85307.5,1144.0,256601.0,1.0,1410121.0,94762.92340686274,178982.03486638772,19.357291666666665,5.345138888888889,64.58645833333334,59.24131944444444,0.7944444444444444,178.1951388888889,0.0006944444444444445,979.2506944444444,65.80758569921024
MDL,CT2,CT2_In_Progress_Minutes,4901,0,4901,0,0.0,,,,,,,,,,,,,,,,,,,
MDL,CT3,CT3_Resolution_minus_Created_Minutes,4901,0,5,4896,99.9,27901.0,7697.0,93004.5,85307.5,1144.0,256631.0,1.0,1410181.0,94766.39154411765,178985.3495378119,19.375694444444445,5.345138888888889,64.58645833333334,59.24131944444444,0.7944444444444444,178.21597222222223,0.0006944444444444445,979.2923611111111,65.80999412785948
MDL,CT4,CT4_Resolution_minus_FirstInProgress_Minutes,4901,1412,26,3463,70.66,15934.0,7037.5,39481.5,32444.0,2870.6000000000013,85880.40000000005,1.0,1299207.0,40694.05515449033,84437.3504160352,11.065277777777778,4.887152777777778,27.417708333333334,22.530555555555555,1.9934722222222232,59.6391666666667,0.0006944444444444445,902.2270833333333,28.259760523951616
