Project,CT1,CT2,CT3,CT4,CT5,CT6
JRACLOUD,100.0,100.0,30.3,5.06,5.28,5.28
MDL,100.0,100.0,57.52,40.95,40.97,40.97
SERVER,100.0,100.0,84.94,49.0,49.18,49.18
