To_String,n
Closed,1772
Gathering Impact,1437
Gathering Interest,1213
Verified,1080
RESOLVED,674
In Progress,372
Needs Triage,360
Needs Verification,256
Short Term Backlog,246
Long Term Backlog,233
Open,202
Awaiting Development,160
Awaiting Soak,91
Soaking,70
Waiting for Release,60
Under Consideration,38
Technical Review,28
Future Consideration,27
In Review,24
Not Being Considered,7
