To_String,n
Closed,16956
Open,15993
Needs Scheduling,15040
In Code Review,11973
In Progress,11365
Investigating,3191
Needs Merge,1910
Waiting For User Input,1594
Blocked,289
Needs Verification,208
Resolved,127
Waiting for Customer,5
Waiting for Reporter,4
Researching,3
Debugging,2
Waiting (Blocked),2
Accepted,1
Needs Triage,1
Waiting for bug fix,1
