To_String,n
Waiting for integration review,8004
Closed,4974
Waiting for peer review,4927
Development in progress,4229
Peer review in progress,4169
Integration review in progress,3711
Waiting for testing,3608
Testing in progress,3606
Tested,3275
Open,1282
Reopened,966
Problem during testing,438
Waiting for security testing,1
Security testing in progress,1
Waiting for release,1
